order_id,order_date,customer_id,store_id,product_id,quantity,unit_price,discount,cost
ID-2023-00077,2023-01-01,CUST-019,ST-001,PRD-015,1.0,400000.0,0.0,303000.0
ID-2023-01389,2023-01-01,CUST-086,ST-005,PRD-004,1.0,2395000.0,0.0,1726000.0
ID-2023-00556,2023-01-03,CUST-002,ST-003,PRD-016,1.0,302000.0,0.0,222000.0
ID-2023-00556,2023-01-03,CUST-002,ST-003,PRD-026,1.0,599000.0,0.0,426000.0
ID-2023-00556,2023-01-03,CUST-002,ST-003,PRD-012,-1.0,3439000.0,0.0,2588000.0
ID-2023-00851,2023-01-03,CUST-108,ST-002,PRD-026,1.0,322000.0,0.0,229000.0
ID-2023-00851,2023-01-03,CUST-108,ST-002,PRD-026,1.0,322000.0,0.0,229000.0
ID-2023-00769,2023-01-04,CUST-075,ST-003,PRD-026,1.0,318000.0,0.0,229000.0
ID-2023-00769,2023-01-04,CUST-075,ST-003,PRD-025,1.0,548000.0,0.05,381000.0
ID-2023-00769,2023-01-04,CUST-075,ST-003,PRD-022,1.0,239000.0,0.0,165000.0
ID-2023-01602,2023-01-04,CUST-051,ST-001,PRD-007,1.0,5952000.0,0.0,4571000.0
ID-2023-01296,2023-01-05,CUST-141,ST-002,PRD-026,1.0,520000.0,0.0,365000.0
ID-2023-00704,2023-01-07,CUST-002,ST-001,PRD-002,1.0,5879000.0,0.0,4011000.0
ID-2023-01672,2023-01-07,CUST-104,ST-002,PRD-009,2.0,2145000.0,0.0,1648000.0
ID-2023-01672,2023-01-07,CUST-104,ST-002,PRD-022,1.0,169000.0,0.1,115000.0
ID-2023-01201,2023-01-08,CUST-040,ST-001,PRD-005,1.0,1649000.0,0.0,1189000.0
ID-2023-01769,2023-01-08,CUST-034,ST-004,PRD-002,1.0,7342000.0,0.15,5079000.0
ID-2023-01157,2023-01-09,CUST-057,ST-001,PRD-020,1.0,77000.0,0.0,48000.0
ID-2023-01157,2023-01-09,CUST-057,ST-001,PRD-016,2.0,307000.0,0.0,230000.0
ID-2023-01157,2023-01-09,CUST-057,ST-001,PRD-015,1.0,361000.0,0.1,264000.0
ID-2023-01434,2023-01-09,CUST-092,ST-001,PRD-018,3.0,512000.0,0.05,355000.0
ID-2023-01434,2023-01-09,CUST-092,ST-001,PRD-001,1.0,2793000.0,0.0,2030000.0
ID-2023-01611,2023-01-10,CUST-108,ST-003,PRD-021,1.0,267000.0,0.05,183000.0
ID-2023-00288,2023-01-11,CUST-032,ST-001,PRD-011,2.0,643000.0,0.0,489000.0
ID-2023-00288,2023-01-11,CUST-032,ST-001,PRD-024,1.0,144000.0,0.0,91000.0
ID-2023-00288,2023-01-11,CUST-032,ST-001,PRD-006,1.0,1475000.0,0.0,1101000.0
ID-2023-01059,2023-01-11,CUST-136,ST-002,PRD-021,2.0,284000.0,0.0,189000.0
ID-2023-01059,2023-01-11,CUST-136,ST-002,PRD-008,1.0,3427000.0,0.0,2674000.0
ID-2023-01059,2023-01-11,CUST-136,ST-002,PRD-014,3.0,890000.0,0.0,666000.0
ID-2023-01082,2023-01-11,CUST-037,ST-002,PRD-017,1.0,939000.0,0.15,672000.0
ID-2023-01143,2023-01-11,CUST-102,ST-001,PRD-005,1.0,1226000.0,0.0,874000.0
ID-2023-01449,2023-01-12,CUST-023,ST-001,PRD-026,1.0,,0.0,324000.0
ID-2023-01761,2023-01-13,CUST-117,ST-001,PRD-006,1.0,1245000.0,0.0,920000.0
ID-2023-01004,2023-01-15,CUST-144,ST-001,PRD-024,1.0,131000.0,0.0,84000.0
ID-2023-01004,2023-01-15,CUST-144,ST-001,PRD-017,1.0,814000.0,0.0,590000.0
ID-2023-00190,2023-01-16,CUST-098,ST-001,PRD-019,1.0,150000.0,0.0,99000.0
ID-2023-00190,2023-01-16,CUST-098,ST-001,PRD-008,1.0,4242000.0,0.05,3271000.0
ID-2023-00190,2023-01-16,CUST-098,ST-001,PRD-026,5.0,0.0,0.0,0.0
ID-2023-01021,2023-01-17,CUST-056,ST-003,PRD-017,1.0,806000.0,0.0,588000.0
ID-2023-01216,2023-01-17,CUST-093,ST-005,PRD-020,1.0,68000.0,0.0,42000.0
ID-2023-01216,2023-01-17,CUST-093,ST-005,PRD-025,1.0,278000.0,0.05,198000.0
ID-2023-01216,2023-01-17,CUST-093,ST-005,PRD-014,1.0,1313000.0,0.0,934000.0
ID-2023-01216,2023-01-17,CUST-093,ST-005,PRD-015,5.0,404000.0,0.0,294000.0
ID-2023-01722,2023-01-17,CUST-148,ST-001,PRD-002,1.0,5188000.0,0.1,3527000.0
ID-2023-01050,2023-01-18,CUST-063,ST-004,PRD-012,1.0,2177000.0,0.0,1626000.0
ID-2023-00048,2023-01-19,CUST-082,ST-003,PRD-025,1.0,389000.0,0.05,274000.0
ID-2023-00048,2023-01-19,CUST-082,ST-003,PRD-016,1.0,208000.0,0.0,153000.0
ID-2023-00048,2023-01-19,CUST-082,ST-003,PRD-017,1.0,1067000.0,0.0,764000.0
ID-2023-00429,2023-01-20,CUST-097,ST-001,PRD-010,1.0,1357000.0,0.0,1037000.0
ID-2023-00736,2023-01-21,CUST-107,ST-002,PRD-002,1.0,5901000.0,0.0,4097000.0
ID-2023-00736,2023-01-21,CUST-107,ST-002,PRD-007,2.0,4076000.0,0.0,3128000.0
ID-2023-00736,2023-01-21,CUST-107,ST-002,PRD-020,3.0,50000.0,0.1,31000.0
ID-2023-01099,2023-01-21,CUST-104,ST-001,PRD-009,1.0,2792000.0,0.0,2125000.0
ID-2023-00230,2023-01-24,CUST-055,ST-003,PRD-020,2.0,66000.0,0.0,40000.0
ID-2023-00230,2023-01-24,CUST-055,ST-003,PRD-008,2.0,3397000.0,0.0,2635000.0
ID-2023-00230,2023-01-24,CUST-055,ST-003,PRD-009,1.0,1506000.0,0.0,1146000.0
ID-2023-00774,2023-01-25,CUST-019,ST-002,PRD-026,1.0,420000.0,0.0,298000.0
ID-2023-00774,2023-01-25,CUST-019,ST-002,PRD-019,1.0,95000.0,0.0,62000.0
ID-2023-01276,2023-01-27,CUST-116,ST-001,PRD-004,1.0,2176000.0,0.0,1599000.0
